标题,类别
高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 500ml,农药
中保（ZhB）农药 阿维菌素 红蜘蛛螨虫青虫根结线虫通用广谱农用杀虫杀螨剂 100ml 瓶,农药
益正源农资诺特化工蜗螺斯蜗克星10%四聚乙醛蜗牛青菜地蘑菇杀蜗牛鼻涕虫蜗牛药克星药杀虫剂农药 300克,农药
柯必达 高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 1000ml,农药
"	
坤宁王花卉杀虫植物土壤二嗪磷小白药植物杀虫颗粒蚧壳虫红蜘蛛蚜虫吡虫啉小黑飞多肉杀虫盆栽防治地下害虫 小白药",农药
东合噻虫嗪花椒果树蔬菜花卉蚜虫飞虱木虱地蛆小黑飞蓟马杀虫剂 100g,农药
大丰收丰创严选70%吡虫啉颗粒农药杀虫剂果树花卉蔬菜月季多肉蚜虫蓟马粉虱飞虱小黑飞叶蝉植物通用 50g,农药
"	
花诺小白药花卉植物杀虫剂花草绿植盆栽土壤杀虫药家用花虫药除虫多肉蚧壳虫土害虫杀虫驱虫防虫吡虫啉颗粒 小白药150g",农药
富美实康宽杜邦氯虫苯甲酰胺水稻豆荚螟 蔬菜钻心虫卷叶螟杀虫剂 5ml*100袋,农药
5%阿维菌素茵果树蔬菜花卉月季红蜘蛛螨虫线虫防治小菜蛾潜叶蛾红蜘蛛根结线虫农药1000克 1000克,农药
利沃风  四聚乙醛6% 杀灭蜗牛的药 田螺鼻涕虫蛞蝓软体虫杀虫剂撒施草坪菜地 500g,农药
德国拜耳艾美乐70%吡虫啉白粉虱蚜虫腻虫飞虱多肉花卉农药杀虫剂 3g,农药
99%矿物油柑橘红蜘蛛介壳虫粉虱白粉病清园剂农药杀螨杀虫剂果树 1L,农药
70%吡虫啉吡虫琳蚍蚜虫药白粉虱蓟马蔬菜花卉果树蔬菜农药杀虫剂 100g,农药
敌百虫辛硫磷敌百辛硫磷地下害虫杀虫剂土蚕地蛆地老虎地下害虫大 500g,农药
多肉土壤杀虫剂小白药介蚧壳虫专用蚜虫红蜘蛛花卉植物通用呋虫胺 50克,农药
中保5%阿维菌素 小麦水稻蔬菜通用菜青虫红蜘蛛根结线虫 杀虫剂 1000ml/瓶,农药
备能植物防虫长效土壤杀虫剂盆栽花卉杀虫剂花草颗粒剂花药小白药蚂蚁蚜虫小黑飞介蚧壳虫 255克颗粒剂,农药
瀚沃 辛硫磷农药乳油绿植物果树花卉小飞虫蚜虫腻虫蔬菜土壤地下害虫灌根通用杀虫剂 300ml,农药
拜耳敌杀死 溴氰酯菊25克/升菊酯花卉蚜虫食心虫菜青虫花卉植物杀虫剂 250ml/瓶,农药
勇冠 立达腈 70%吡虫啉 水分散粒剂农药 吡虫林吡虫灵比虫林虫啉高含量防治甘蓝蔬菜蚜虫虫害农用杀虫剂500克,农药
戈击 爱卡螨爱利思达43%联苯肼酯月季花卉茶树玫瑰草莓兰花茉莉红蜘蛛茶黄螨白蜘蛛二斑叶螨农药杀螨剂 5ml,农药
"	
花诺小白药花卉植物杀虫剂花草绿植盆栽土壤杀虫药家用花虫药除虫多肉蚧壳虫土害虫杀虫驱虫防虫吡虫啉颗粒 小白药50g",农药
瀚沃 拜耳敌杀死 溴氰酯菊25克/升菊酯茶树果树花卉蔬菜潜叶蛾蚜虫叶蝉食心虫盲粘虫农药杀虫剂 250ml,农药
中保 功夫5%高效氯氟氰菊酯 蔬菜果树花卉通用杀虫剂蚜虫菜青虫粘虫农药 200克/瓶,农药
多肉土壤杀虫剂小白药介蚧壳虫专用蚜虫红蜘蛛花卉植物通用呋虫胺 250克,农药
德国拜耳亩旺特100ml螺虫乙酯蚜虫介蚧壳虫农药杀虫剂哈速腾150ml 亩旺特100ml/瓶,农药
利沃风  美国爱利思达爱卡螨金满枝联苯肼酯玫瑰茶黄月季红蜘蛛杀虫剂蔬菜果树杀螨剂 金满枝10毫升+爱卡螨5毫升,农药
戈击 先正达福戈 氯虫苯甲酰胺噻虫嗪40%稻纵卷叶螟二化螟褐飞虱杀虫剂农药 4克,农药
阿维哒螨灵 10.5% 阿维菌素哒螨灵红知蛛哒满灵月季柑橘红蜘蛛螨虫农药杀螨剂杀虫药 200ml,农药
大丰收 杀虫剂5%阿维菌素乳油果树蔬菜水稻花卉螨虫红蜘蛛根结线虫杀螨 500ml,农药
70%吡虫啉吡虫琳蚍蚜虫药白粉虱蓟马蔬菜花卉果树蔬菜农药杀虫剂 500g,农药
戈击4%阿维啶虫脒中保季多标蓟多标阿维菌素啶虫脒草莓豆角黄瓜蓟马克星杀虫杀卵农药杀虫剂农药农资店 50毫升,农药
天令 蚧必治18%吡虫噻嗪酮花卉果树柑橘蚧壳虫多肉小白虫介壳虫粉虱通用农药杀虫剂 200g,农药
农药1.8%阿维菌素蔬菜花卉果树高效农用红蜘蛛小菜蛾茶黄螨杀螨蚜虫根结线虫螨虫除虫药杀虫剂 200ml,农药
中易购农资 5%阿维菌素 红蜘蛛螨虫腻虫潜叶蝇根结线虫生物杀虫剂农药 1000ml 1000毫升一瓶,农药
富美实康宽杜邦氯虫苯甲酰胺水稻豆荚螟 蔬菜钻心虫卷叶螟杀虫剂 100ml/瓶,农药
中保（ZhB） 中国农科院苦参碱绿色生物农药菜青虫蚜虫杀虫剂有机蔬菜作物基地用药,农药
蓟马蚜虫药杀虫药高抗性蓟马专用杀虫剂杀虫杀卵100ml30ml 100ml,农药
金满枝 丁氟螨酯 月季 花卉草莓柑橘叶螨 红蜘蛛 杀螨剂  金满枝美国富美实 安全进口农药杀虫剂 10毫升,农药
柯必达 高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 500ml,农药
34%红蜘蛛茶黄螨全爪螨二斑叶螨蔬菜果树杀螨螺螨酯防治柑橘红蜘蛛螨卵杀螨剂阿维菌素红蜘蛛白蜘蛛杀虫剂 500克,农药
爱卡螨金满枝瓶装红蜘蛛专用药联苯肼酯植物月季草莓茶黄螨杀螨剂 15ml,农药
农药 20%啶虫脒 果树蔬菜花卉蚜虫粉虱腻虫蓟马跳甲广谱杀虫剂 10克/袋,农药
农药 20%啶虫脒 果树蔬菜花卉蚜虫粉虱腻虫蓟马跳甲广谱杀虫剂 10克*50袋,农药
勇冠 6%联菊啶虫脒 农药白粉虱专用药飞虱蚜虫小黑飞联菊啶虫脒花卉瓜柑橘果树蔬菜杀虫剂 农用 30克/瓶,农药
中保（ZhB）联苯菊酯杀虫剂 杀粉虱茶尺蠖茶毛虫白蚁农药 200ml*10瓶,农药
大丰收 小白药 2%吡虫啉 多肉蚧壳虫蚜虫专用防月季花卉植物通用土壤杀虫剂 60g,农药
法国进口 梅塔 5%四聚乙醛 福寿螺 蜗牛 鼻涕虫杀虫剂 200g,农药
戈击 一帆威龙25%哒螨螺螨酯哒螨灵+螺螨酯复配月季花卉柑橘果树红蜘蛛专用药锈壁虱农药杀螨剂杀虫剂 100g,农药
地下害虫专用杀虫剂辛硫磷颗粒剂辛硫麟土壤土虫丹地老虎蛴螬蝼蛄 农用 1袋 1000克,农药
地下害虫专用杀虫剂辛硫磷颗粒剂辛硫麟土壤土虫丹地老虎蛴螬蝼蛄 农用 一箱20袋 1000克,农药
中保农药 70%吡虫啉 多肉花卉蚜虫粉虱稻飞虱 农药杀虫剂 3g,农药
高效氯氟氰菊酯功夫菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫 500ml,农药
大丰收 晋德威25%吡虫啉蚜虫杀虫剂 100g,农药
大灰狼 小白药介蚧壳虫专用土壤杀虫剂蚜虫红蜘蛛花卉多肉植物通用二嗪磷 小白药50g（罐装）,农药
中易购农资 俊克 25克/升 联苯菊酯杀虫剂茶小绿叶蝉粉虱蚜虫茶尺蠖茶树农药联苯菊脂杀虫剂 1000ml/瓶,农药
金满枝 丁氟螨酯 月季 花卉草莓柑橘叶螨 红蜘蛛 杀螨剂  金满枝美国富美实 安全进口农药杀虫剂 100毫升,农药
2.5%高效氯氟氰菊酯蔬菜果树农药杀虫剂功夫菊酯菜青虫地下害虫蚜虫食心虫农药 1000ml*1瓶,农药
10%啶虫脒杀虫剂防治蚜虫飞虱蓟马跳甲绿叶蝉黑飞虫果树蔬菜桃蚜虫蓟马腻虫跳甲农药杀虫啶虫咪1000克 1000克,农药
5%阿维菌素茵果树蔬菜花卉月季红蜘蛛螨虫线虫防治小菜蛾潜叶蛾红蜘蛛根结线虫农药1000克 500克,农药
中易购农资 韩孚蚜虱一遍净 10% 吡虫啉 果树蔬菜花卉月季多肉蚜虫飞虱蓟马小黑飞韭蛆叶蝉杀虫剂农药 100g/袋,农药
蚧壳虫专用药蚧必治杀虫剂介壳灵内吸型荣邦杀扑介果树花卉多肉蚜虫白粉虱渝锄店 200g*1瓶,农药
戈击 沪联歼飞 80%烯啶·吡蚜酮烯啶虫胺+吡蚜酮叶蝉稻飞虱蚜虫稻飞虱褐飞虱蓟马棉蚜通杀杀虫剂 3g,农药
蚧壳虫专用药蚧必治杀虫剂介壳灵内吸型荣邦杀扑介果树花卉多肉蚜虫白粉虱渝锄店 1000g*1瓶,农药
蚧壳虫专用药蚧必治杀虫剂介壳灵内吸型荣邦杀扑介果树花卉多肉蚜虫白粉虱渝锄店 20g*1瓶,农药
坤宁王花卉杀虫植物多肉土壤二嗪磷小白药植物驱虫颗粒蚧壳虫红蜘蛛蚜虫吡虫啉小黑飞家用盆栽防治地下害虫 小白药245g,农药
果树杀虫剂葡萄树梨树桃树李子树枣树石榴树橘子树专用杀虫剂农药 200克（2瓶）,农药
大丰收丰创严选45%联苯肼酯乙螨唑复配防治红蜘蛛白蜘蛛茶黄螨杀虫剂,农药
大丰收 5%阿维虱螨脲 蚜虫锈壁虱潜夜蛾甜菜夜蛾杀虫剂杀菌剂 450g*1瓶,农药
德国拜耳亩旺特100ml螺虫乙酯蚜虫介蚧壳虫农药杀虫剂哈速腾150ml 亩旺特+哈速腾,农药
陶氏益农 艾绿士乙基多杀菌素 菜青虫小菜蛾蓟马稻纵卷叶螟吊丝虫农药杀虫剂 10ml*1袋,农药
大丰收 25%噻虫嗪农药杀虫剂果园蔬菜蚜虫粉虱农用除虫剂 500克,农药
富美实 金满枝丁氟螨酯 蔬菜花卉草莓红蜘蛛杀螨剂 10ml*1袋,农药
中易购农资 双星农药 10% 虫螨腈 悬浮剂 除尽螟虫叶螨红蜘蛛卵夜蛾白蛾小菜蛾菜青虫农药杀虫剂 1000克/瓶,农药
瀚沃 吡虫啉比蚍哔呲吡虫琳灵林蚜虫专用药飞虱蓟马花卉果蔬杀虫剂 100g 100g,农药
天令 农药杀虫剂吡虫啉高效农药店家用通用农用杀虫药蚍虫啉花小飞虫蚍 100ml,农药
农药白粉虱专用药飞虱蚜虫小黑飞联菊啶虫脒花卉瓜果树蔬菜杀虫剂 200g,农药
联村 一瓶好 500克20%乙螨唑 柑橘红蜘蛛杀虫剂 果树杀螨剂 乙螨唑 阿维菌素螺螨脂 螺螨酯农药 500克,农药
6%阿维菌素啶虫咪阿维啶虫脒杀虫剂防治梨木虱蚜虫绿叶蝉红蜘蛛 1000克,农药
阿维哒螨灵果树蔬菜柑橘杀虫剂杀红蜘蛛专用药锈壁虱叶螨杀螨剂 200ml,农药
利沃风  蚧壳虫杀虫剂 果树柑橘石榴柿树啶虫脒噻嗪酮专杀介壳虫药 1000克,农药
阿维哒螨灵果树蔬菜柑橘杀虫剂杀红蜘蛛专用药锈壁虱叶螨杀螨剂 200ml（5瓶装的）,农药
利沃风  蚧壳虫杀虫剂 果树柑橘石榴柿树啶虫脒噻嗪酮专杀介壳虫药 200克,农药
小白药原装花卉多肉土壤介蚧壳虫专用蚜虫杀虫剂植物超日本dx 50g,农药
涡停40%四聚乙醛植物蔬菜蜗牛药蛞蝓鼻涕虫农药杀螺杀虫剂100g 100g,农药
大丰收  红蜘蛛高效持效套餐  螺螨酯500g*3+益决害螨消抗剂500g*2 2500g,农药
大丰收 4.5%高效氯氰菊酯 花卉蔬菜瓜果菜蛾青虫小黑飞通用农药杀虫剂 500ml,农药
富美实康宽杜邦氯虫苯甲酰胺水稻豆荚螟 蔬菜钻心虫卷叶螟杀虫剂 500ml/瓶,农药
22阿维菌素螺螨酯防治果树月季花卉柑橘红蜘蛛白蜘蛛螨卵杀虫剂杀螨剂农药阿维螺螨酯 1000克,农药
蚧壳虫专用药蚧必治噻嗪酮介壳虫花卉柑橘果树多肉通用农药杀虫剂 200g,农药
德国拜耳艾美乐70%吡虫啉白粉虱蚜虫腻虫飞虱多肉花卉农药杀虫剂 5g,农药
中保农药 12%甲维盐虫螨腈甲维虫螨晴水稻卷叶螟蔬菜吊丝虫青虫甜菜夜蛾杀虫剂 200g*1瓶,农药
大丰收 海正农不老5%啶虫脒粉虱蚜虫蓟马专用药果树蔬菜农药杀虫剂高效 200ml,农药
中保 20%阿维菌素乙螨唑 虫卵双杀柑橘月季红蜘蛛茶黄螨农药杀螨杀虫剂农药 100克/瓶,农药
中保 20%阿维菌素乙螨唑 虫卵双杀柑橘月季红蜘蛛茶黄螨农药杀螨杀虫剂农药 1000克/瓶,农药
柯必达 34%螺螨酯柑橘红蜘蛛螨卵杀螨剂阿维菌素红蜘蛛白蜘蛛杀虫剂农药 34%螺螨酯1000克1瓶,农药
中保 20%阿维菌素乙螨唑 虫卵双杀柑橘月季红蜘蛛茶黄螨农药杀螨杀虫剂农药 500克/瓶,农药
50%敌百辛硫磷杀虫剂地下害虫根蛆黑头蛆蛴螬地老虎蝼蛄螟虫农药 900毫升,农药
中易购农资 会战 25%丁醚脲果树蔬菜小菜蛾菜青虫叶螨锈螨茶树茶叶茶小绿叶蝉茶尺蠖茶毛虫杀虫剂农药 500ml一瓶,农药
强道5.7%甲维盐杀虫剂防治蓟马青虫小菜蛾农药1000克蓟马专用 1000ml,农药
中保 功夫5%高效氯氟氰菊酯 蔬菜果树花卉通用杀虫剂蚜虫菜青虫粘虫农药 200克*10瓶,农药
戈击 陶氏益农可立施50%氟啶虫胺腈农药果树盲蝽蟓烟粉虱蚜虫杀虫剂农药农资店 25g,农药
苏云金杆菌 钻心虫菜青虫小菜蛾吊丝虫农药杀虫剂高效 1000ml,农药
中保 33%螺虫乙酯噻嗪酮介壳虫蚧壳虫蚜虫飞虱白粉虱蓟马专用药农药杀虫剂 20克,农药
中易购农资 江苏东宝农化 35%吡虫啉果树蔬菜瓜果花卉粉虱梨木虱蓟马蚜虫稻飞虱盲蝽蟓 悬浮剂 杀虫剂 500g/瓶,农药
中保 33%螺虫乙酯噻嗪酮介壳虫蚧壳虫蚜虫飞虱白粉虱蓟马专用药农药杀虫剂 200克,农药
农药1.8%阿维菌素蔬菜花卉果树高效农用红蜘蛛小菜蛾茶黄螨杀螨蚜虫根结线虫螨虫除虫药杀虫剂 1000毫升,农药
中保 8000IU苏云金杆菌一月无虫苏云金杆茵钻心虫菜青虫菜蛾吊丝虫农药杀虫剂 1000克/瓶,农药
70%吡虫啉500克吡虫林吡虫灵比虫林虫啉稻飞虱蚜虫蓟马农用杀虫剂 100g,农药
阿维螺螨酯25%阿维菌素螺螨酯红白蜘蛛柑橘蔬菜杀螨剂杀虫杀卵农药杀虫剂 100g,农药
锐打4.5%高效氯氰菊酯溶液农药杀虫剂喷雾剂果树蔬菜花卉蚜虫菜青虫地下害虫高效广谱渝锄店500ml 300ml*1瓶【高效广谱杀虫】,农药
中保（ZhB）农药杀虫剂高氯 高效氯氰菊酯  蔬菜果树棉花等通用害虫杀虫剂 100ml/1瓶,农药
中保（ZhB）农药杀虫剂高氯 高效氯氰菊酯  蔬菜果树棉花等通用害虫杀虫剂 1000ml/瓶,农药
锐打4.5%高效氯氰菊酯溶液农药杀虫剂喷雾剂果树蔬菜花卉蚜虫菜青虫地下害虫高效广谱渝锄店500ml 1000ml*12瓶【整箱划算】,农药
东合10%啶虫脒果树蔬菜花卉蚜虫飞虱蚧壳虫蓟马跳甲小黑飞杀虫剂 200ml,农药
中易购农资 40%啶虫脒 江苏东宝农化 水分散粒剂果树蔬菜花卉蚜虫蓟马粉虱跳甲稻飞虱等广谱农药杀虫剂 100g/瓶,农药
高氯甲维盐抗性夜蛾小菜蛾钻心虫食心虫吊丝虫青虫药农药杀虫剂 300ml,农药
东合10%啶虫脒果树蔬菜花卉蚜虫飞虱蚧壳虫蓟马跳甲小黑飞杀虫剂 1000ml,农药
大丰收 240克/升螺螨酯 红蜘蛛杀虫剂杀螨剂 朱砂叶螨茶黄螨 柑橘果树农 500g瓶,农药
诺普信力道 30%噻虫嗪高氯氟蚜虫小地老虎盲蝽蟓绿叶蝉农药杀虫剂 力道 500克,农药
沃德伊诺 天令 农药杀虫剂20%吡虫啉 植物通用蔬菜果树蚜虫除虫剂杀虫药蓟马植物杀虫药 100ml（现货当天配发）,农药
大丰收 仕邦满力10%阿维哒螨灵乳油杀虫剂 1000ml*1瓶,农药
戈击 德国拜耳 敌杀死 2.5%溴氰酯菊茶树小叶绿蝉大豆食心虫盲蝽蟓粘虫进口农药杀虫剂益正源农资店 250ml,农药
戈击 德国拜耳 敌杀死 2.5%溴氰酯菊茶树小叶绿蝉大豆食心虫盲蝽蟓粘虫进口农药杀虫剂益正源农资店 80ml,农药
戈击 德国拜耳 敌杀死 2.5%溴氰酯菊茶树小叶绿蝉大豆食心虫盲蝽蟓粘虫进口农药杀虫剂益正源农资店 4ml*10支,农药
富美实福利星20%噻虫胺大蒜韭菜大葱黑头地蛆冲施杀虫剂 250g*10瓶,农药
仙葩3%呋虫胺内吸式小白药多肉植物月季花卉介壳虫蚜虫红蜘蛛稻飞虱小黑飞青虫土壤通用防虫药农药杀虫剂 蓝瓶杀虫剂50克+粉瓶杀菌50克,农药
中易购农资 飞色尽 吡虫啉70%杀虫剂蔬菜小麦飞虱蓟马绿萝花卉多肉绿植腻虫小飞虫农药杀虫剂 100g/瓶,农药
地下害虫杀虫剂地虫全杀熏蒸辛硫磷高效氯乳油蚂蚁地老虎蛴螬蝼蛄 500ml,农药
中保5%阿维菌素 小麦水稻蔬菜通用菜青虫红蜘蛛根结线虫 杀虫剂 1000ml*12瓶,农药
中保5%阿维菌素 小麦水稻蔬菜通用菜青虫红蜘蛛根结线虫 杀虫剂 300ml/瓶,农药
仙葩小白药多肉花卉月季植物土壤杀菌杀虫剂蚧壳虫蚜虫红蜘蛛呋虫胺介壳内吸式驱虫剂 仙葩蓝瓶（杀虫） 50克/瓶,农药
联村 景仰 柑橘红蜘蛛杀虫剂43%联苯肼酯 阿维菌素乙螨唑螺螨酯脂农药果树矿物油唑螨脂噻螨酮杀螨剂 500克,农药
联村 速达蓟 柑橘蔬菜果树杂虫粉虱蚜虫蓟马跳甲叶蝉杀虫剂噻虫嗪高氯 桃树蚜虫麦蚜苹果西瓜蚜虫棉蚜农药 500克,农药
啶虫脒杀虫剂果树柑橘茶叶蔬菜蚜虫腻虫飞虱跳甲蓟马药啶虫咪 1000ml,农药
大丰收5%唑螨酯红蜘蛛锈壁虱杀虫剂柑橘除虫杀螨剂虫卵兼杀果树 1kg,农药
大丰收 20%乙螨唑 果树蔬菜园艺 螨虫白红蜘蛛农药杀虫杀螨剂 500g,农药
大丰收 上海沪联22%噻虫·高氯氟蚜虫蓟马木虱蚧壳虫叶蝉果园蔬菜杀虫剂 500g*1瓶,农药
中易购农资 2%阿维菌素高氯美洲斑潜蝇地图虫蚜虫青虫跳甲农药杀虫剂1000毫升 1000毫升/瓶,农药
联村  宝卓太太  柑橘抗性红蜘蛛杀虫剂 阿维菌素乙螨唑 螺螨脂 茄子月季玫瑰红蜘蛛农药杀螨剂组套装 顽固性500克+500克/套,农药
25%杀虫双地虫特杀地下害虫杀虫杀卵 土壤杀虫剂根蛆蛴螬地老虎 25% 含量(800克) 1瓶体验装,农药
戈击先正达 阿立卡 噻虫·高氯氟 22%蚜虫腻虫蓟马茶小绿叶蝉 白1粉虱噻虫嗪高效氯氟氰菊农药杀虫剂 250ml,农药
后尧 杀红蜘蛛专用药杀虫剂高效月季玫瑰绣球茉莉花植物花卉通用除虫剂 四螨·联苯肼20g*1瓶+刻度吸管,农药
后尧 杀红蜘蛛专用药杀虫剂高效月季玫瑰绣球茉莉花植物花卉通用除虫剂 四螨·联苯肼20g+吸管喷壶量杯,农药
沪联植保 爱美乐 70%吡虫啉 水分散粒剂农药 甘蓝蔬菜瓜果蚜虫抗性蚜虫 农用高含量杀虫剂 2克/袋*50袋,农药
众合 噻虫嗪 30%噻虫嗪 飞虱塞虫嗪农药噻嗪虫蓟马噻虫螓蚜虫杀虫剂花卉蔬菜通用 5瓶 100克/瓶,农药
瀚鑫 5%甲维盐+高效氯氟氰菊酯 果树食心虫钻心虫专用农药杀虫剂高效1L 1000ml,农药
农药阿维菌素红蜘蛛药蚜虫介壳虫蚧壳虫果树花卉杀虫剂专用药草地贪夜蛾 1000ml,农药
金满枝爱卡螨月季草莓花卉家用多肉打红蜘蛛专用的杀虫农药杀螨剂 15ml,农药
【大丰收定制】5%高效氯氟氰菊酯 功夫菊酯 微乳剂强力长效杀虫剂 1000ml,农药
戈击 功夫菊酯凯源祥大方中2.5%高效氯氟氰菊酯菜青虫小飞蛾菜蛾食心虫卷叶螟榛实象甲农药杀虫剂农资店 300g,农药
四聚乙醛 杀蜗牛专用药鼻涕虫蛞蝓灭蜗牛的药颗粒剂菜地花卉盆栽果树大田 1000g,农药
扣杀辛硫磷3%地老虎蛴螬地下害虫玉米螟棉蚜小麦蚜虫蓟马蝼蛄菜青虫黏虫稻苞虫杀虫剂农药颗粒剂 900克,农药
蛀虫天牛幼虫钻心虫杀虫剂实木木头家具果树绿化园林农药防蛀虫药 600ml,农药
20%哒螨灵啶虫脒蔬菜甘蓝青菜蚜虫跳甲专用农药黄曲条跳甲杀虫剂 200ml,农药
戈击  益正源富美实 康宽 杀虫剂20%氯虫苯甲酰胺水稻 蔬菜花卉钻心虫菜青虫棉铃虫卷叶螟杀虫剂农药 5毫升,农药
中易购农资 0.57% 甲氨基阿维菌素甲维盐高抗性吊丝虫菜青虫甜菜夜蛾食心虫农药杀虫剂 1000g/瓶,农药
联村 景仰 柑橘红蜘蛛杀虫剂组合43%联苯肼酯乙螨唑 螨卵通杀月季玫瑰阿维菌素 螺螨脂酯农药杀螨剂 500克+500克/套,农药
大丰收 剑斩12%甲维·虫螨腈甜菜夜蛾 斜纹夜蛾草地贪夜蛾杀虫剂 500g,农药
天令 蚧必治18%吡虫噻嗪酮花卉果树柑橘蚧壳虫多肉小白虫介壳虫粉虱通用农药杀虫剂 1000g,农药
杜邦康宽氯虫苯甲酰胺水稻豆荚螟蔬菜钻心虫卷叶螟杀虫剂 5ml*100袋,农药
瀚鑫 先正达 阿立卡 蚜虫腻虫蓟马绿叶蝉白粉虱农药杀虫剂50-250ml-1L 10ml,农药
戈击 诺特强项四聚乙醛80%杀蜗牛蜗牛药鼻涕虫蛞蝓螺丝蔬菜果树蜗牛喷雾剂喷剂杀虫剂 15克（喷雾剂）,农药
杜邦康宽氯虫苯甲酰胺水稻豆荚螟蔬菜钻心虫卷叶螟杀虫剂 5ml*1袋,农药
中保 阿维菌素啶虫脒 蚜虫白蚁红蜘蛛 花卉苗木园林阿维啶虫脒广谱杀虫剂 200ml瓶装,农药
中保 阿维菌素啶虫脒 蚜虫白蚁红蜘蛛 花卉苗木园林阿维啶虫脒广谱杀虫剂 10克袋装,农药
2.5%国产敌杀死蔬菜花卉蚜虫食心虫菜青虫潜叶蛾农药杀虫剂高效 100毫升,农药
利沃风  四聚乙醛6% 杀灭蜗牛的药 田螺鼻涕虫蛞蝓软体虫杀虫剂撒施草坪菜地 200克,农药
2.5%国产敌杀死蔬菜花卉蚜虫食心虫菜青虫潜叶蛾农药杀虫剂高效 200毫升,农药
敌百虫辛硫磷农药槟榔药钻心虫地下害虫土蚕地老虎蚜虫果树杀虫剂 900g,农药
中保（ZhB）农科院 噻虫嗪 水稻飞虱月季多肉果树蔬菜粉虱蚜虫蓟马绿叶蝉介壳虫 农药 阿克泰 杀虫剂 100g瓶装,农药
小白药内吸式无臭花卉花草兰花多肉蚧壳虫杀虫剂土壤杀虫药通用 50g,农药
中保（ZhB）农药 阿维菌素 红蜘蛛螨虫青虫根结线虫通用广谱农用杀虫杀螨剂 1000ml 瓶,农药
中保（ZhB）农药 阿维菌素 红蜘蛛螨虫青虫根结线虫通用广谱农用杀虫杀螨剂 1000ml*12瓶 瓶,农药
勇冠 农用阿维菌茵素柑橘果树蔬菜红蜘蛛杀螨剂青虫小菜潜叶蛾梨木虱药谱广杀虫剂 农药灭虫剂 300ml,农药
勇冠 农用阿维菌茵素柑橘果树蔬菜红蜘蛛杀螨剂青虫小菜潜叶蛾梨木虱药谱广杀虫剂 农药灭虫剂 1000克*2瓶,农药
高效氯氟氰菊酯蔬菜果树农药杀虫剂菜青虫地下害虫蚜虫食心虫农药 疯抢价一箱装【500ml*20瓶】,农药
沙隆达 安道麦 江山 敌百虫 90% 杀虫农药晶体粉剂 小白药螟虫黏虫粘虫 造桥虫 菜青虫 杀虫剂 江山1000g晶体,农药
